OrderID,OrderDate,CustomerID,Region,ProductID,ProductName,Category,Quantity,Sales,Profit
ORD000001,2023-12-29,C00072,North,P4001,Milk,Grocery,2,6,0.88
ORD000002,2025-04-11,C00331,East,P3001,Shirt,Apparel,1,30,4.17
ORD000003,2024-09-14,C00131,South,P4002,Coffee,Grocery,1,10,1.36
ORD000004,2025-01-08,C00806,South,P3001,Shirt,Apparel,3,90,27.73
ORD000005,2025-06-23,C00314,South,P4002,Coffee,Grocery,3,30,7.63
ORD000006,2023-12-13,C00059,East,P3001,Shirt,Apparel,1,30,5.18
ORD000007,2025-08-01,C00783,South,P1002,Headphones,Electronics,1,50,17.17
ORD000008,2024-06-03,C00567,West,P3002,Shoes,Apparel,2,140,20.99
ORD000009,2025-05-06,C00647,North,P4002,Coffee,Grocery,1,10,3.15
ORD000010,2024-09-17,C00316,South,P1001,Smartphone,Electronics,1,300,101.17
ORD000011,2023-11-28,C00898,West,P1002,Headphones,Electronics,1,50,5.2
ORD000012,2025-09-22,C00509,West,P2002,Sofa,Home Decor,1,600,78.31
ORD000013,2025-01-20,C00562,West,P4001,Milk,Grocery,1,3,0.59
ORD000014,2024-06-05,C00106,West,P2002,Sofa,Home Decor,1,600,138.01
ORD000015,2024-07-01,C00556,South,P3002,Shoes,Apparel,1,70,21.74
ORD000016,2025-08-17,C00816,East,P1002,Headphones,Electronics,2,100,24.95
ORD000017,2025-02-25,C00702,West,P4002,Coffee,Grocery,1,10,2.3
ORD000018,2025-07-12,C00053,West,P3001,Shirt,Apparel,1,30,5.04
ORD000019,2025-06-30,C00493,North,P1002,Headphones,Electronics,3,150,37.76
ORD000020,2025-06-17,C00839,North,P3001,Shirt,Apparel,2,60,7.12
ORD000021,2025-04-25,C00063,East,P4002,Coffee,Grocery,1,10,1.73
ORD000022,2024-09-22,C00289,East,P2001,Lamp,Home Decor,2,50,14.11
ORD000023,2024-07-30,C00028,East,P3001,Shirt,Apparel,3,90,23.65
ORD000024,2025-02-10,C00048,East,P1001,Smartphone,Electronics,1,300,54.82
